crop,location,soil_type,growing_season,ph,temperature,rainfall,humidity,irrigation,fertilizer,previous_yield,area,n_content,p_content,k_content,yield
Rice,Central Valley,Loamy,Kharif,6.5,27.0,1200.0,75.0,500.0,120.0,4.2,5.0,95.0,40.0,60.0,4.45
Rice,Southeast,Clay,Kharif,6.2,28.5,1450.0,80.0,450.0,135.0,4.0,10.0,90.0,42.0,58.0,4.18
Wheat,Midwest,Silt Loam,Rabi,6.8,18.5,550.0,55.0,300.0,110.0,3.4,25.0,85.0,48.0,45.0,3.62
Wheat,Great Plains,Loamy,Rabi,7.1,17.0,480.0,50.0,350.0,105.0,3.1,40.0,80.0,45.0,40.0,3.25
Corn,Midwest,Black Soil,Summer,6.6,26.0,850.0,65.0,250.0,160.0,4.8,30.0,120.0,55.0,70.0,5.15
Corn,Southeast,Alluvial,Summer,6.4,27.5,920.0,70.0,200.0,150.0,4.5,18.0,115.0,50.0,65.0,4.72
Potato,Pacific Northwest,Sandy Loam,Spring,6.0,19.0,600.0,68.0,600.0,180.0,15.2,12.0,110.0,60.0,100.0,16.40
Potato,Midwest,Loamy,Spring,6.3,20.5,650.0,62.0,550.0,175.0,14.0,8.0,105.0,58.0,95.0,14.85
Tomato,Central Valley,Loamy,Summer,6.7,29.0,400.0,52.0,700.0,190.0,18.5,6.0,130.0,65.0,110.0,19.80
Tomato,Southeast,Alluvial,Spring,6.5,25.5,780.0,72.0,500.0,170.0,17.0,4.5,125.0,60.0,105.0,17.65
Soybean,Midwest,Clay,Summer,6.8,24.0,720.0,60.0,150.0,80.0,2.3,35.0,50.0,45.0,55.0,2.45
Cotton,Delta Region,Alluvial,Kharif,7.0,31.0,650.0,58.0,400.0,140.0,1.9,20.0,95.0,50.0,60.0,1.98
