crop,location,soil_type,growing_season,ph,temperature,rainfall,humidity,irrigation,fertilizer,previous_yield,area,n_content,p_content,k_content,yield
Soybean,Central Valley,Loamy,Summer,5.62,18.0,1424.0,67.3,572.4,57.3,2.36,13.0,53.1,31.3,80.2,2.03
Tomato,Midwest,Alluvial,Autumn,6.55,21.6,1610.5,77.9,227.7,147.2,19.75,21.6,78.9,30.1,96.3,19.77
Rice,Central Valley,Silt Loam,Kharif,6.23,21.3,413.0,63.0,199.9,262.1,3.67,18.6,51.0,35.5,82.9,3.54
Cotton,Southeast,Black Soil,Rabi,5.34,20.6,769.6,44.0,286.2,73.2,2.23,35.5,78.9,59.5,56.5,1.88
Corn,Southeast,Clay,Summer,7.25,17.4,1270.7,66.7,295.8,156.3,4.28,35.4,77.8,79.8,88.8,4.33
Wheat,Pacific Northwest,Sandy Loam,Kharif,5.3,22.3,738.2,50.5,854.3,251.6,2.98,12.2,84.1,60.9,59.6,2.89
Soybean,Great Plains,Clay,Summer,7.43,26.8,1433.2,61.4,566.8,133.3,2.28,7.8,179.6,24.7,69.4,1.91
Cotton,Central Valley,Loamy,Rabi,7.58,24.4,442.1,59.1,896.9,171.7,1.33,31.7,176.0,75.3,21.1,1.58
Soybean,Central Valley,Alluvial,Autumn,7.51,22.8,775.6,47.9,102.6,216.1,1.87,37.8,140.8,83.0,96.2,2.12
Tomato,Central Valley,Alluvial,Summer,6.72,20.0,892.2,48.1,862.8,262.2,15.55,42.2,168.6,56.9,68.9,16.2
Rice,Southeast,Sandy Loam,Rabi,7.83,34.9,474.2,64.3,155.4,224.9,4.64,3.8,147.2,24.0,67.5,3.7
Tomato,Midwest,Sandy Loam,Autumn,6.47,20.2,1132.0,76.5,260.9,121.7,18.18,43.7,179.3,60.5,63.8,16.22
Tomato,Great Plains,Loamy,Rabi,6.21,27.8,683.7,51.0,156.8,195.2,16.53,12.0,72.1,78.4,106.0,18.27
Rice,Delta Region,Clay,Summer,5.84,18.6,1706.5,68.6,478.1,230.5,3.14,33.8,153.0,28.3,29.7,3.26
Potato,Southeast,Silt Loam,Spring,7.39,29.5,1777.0,44.9,422.1,128.0,13.19,23.9,160.6,32.4,39.0,12.42
Potato,Midwest,Silt Loam,Rabi,5.95,34.5,992.5,83.1,540.3,61.6,13.19,14.6,179.9,73.5,116.9,14.02
Cotton,Midwest,Clay,Spring,5.84,24.0,435.0,58.9,888.2,111.0,1.8,24.8,149.8,46.9,62.3,1.67
Soybean,Delta Region,Alluvial,Spring,6.09,35.4,1189.8,67.1,698.4,63.1,2.47,8.6,121.8,50.2,105.3,2.1
Wheat,Central Valley,Black Soil,Kharif,5.41,17.4,1599.6,60.2,853.3,181.0,3.3,42.7,121.0,17.8,28.2,2.78
Soybean,Delta Region,Black Soil,Autumn,5.98,29.4,805.6,53.3,204.7,198.5,1.76,16.5,104.0,80.0,113.6,2.09
Rice,Great Plains,Black Soil,Autumn,5.42,20.3,734.5,86.7,804.7,252.2,4.22,49.8,91.7,26.0,103.4,3.8
Soybean,Southeast,Black Soil,Autumn,7.65,22.0,1311.9,86.9,207.4,76.5,2.16,1.4,55.0,53.7,47.2,2.08
Tomato,Midwest,Alluvial,Summer,7.1,21.3,1058.4,85.3,776.9,71.2,14.01,11.0,99.3,34.4,20.4,15.17
Cotton,Midwest,Alluvial,Summer,6.53,30.1,1163.3,45.6,856.0,208.9,1.68,8.9,60.9,17.5,56.9,1.83
Tomato,Midwest,Silt Loam,Rabi,6.29,34.7,1759.7,42.0,386.2,206.9,18.93,3.0,133.4,39.8,76.0,16.09
Cotton,Great Plains,Black Soil,Rabi,5.91,19.3,1509.8,48.9,429.8,91.3,1.89,46.4,169.4,69.8,61.2,1.65
Soybean,Pacific Northwest,Clay,Summer,7.3,23.7,406.2,63.5,259.7,261.2,1.98,8.8,89.0,72.4,107.1,2.08
Wheat,Central Valley,Alluvial,Rabi,6.04,17.4,1471.3,57.6,507.5,206.3,3.69,20.5,158.1,38.2,22.8,3.45
Corn,Midwest,Black Soil,Summer,6.99,22.9,1490.3,61.8,887.4,76.6,4.02,2.9,165.9,28.3,24.4,4.1
Potato,Central Valley,Black Soil,Autumn,8.02,30.7,635.7,61.6,859.1,261.8,15.22,34.7,127.2,61.4,32.5,14.21
Corn,Delta Region,Sandy Loam,Spring,7.29,27.1,628.2,73.2,403.3,222.1,4.27,17.0,64.4,54.8,60.6,4.36
